month_end,gap_ma3,prev_gap_ma3,dyn_thr,trend_signal,pe_pct,val_weight,target_position,traded
2006-02-28,-6.916666666666667,-6.653333333333333,-3.6999999999999993,-1,0.9766355140186916,0.0,0.0,True
2006-03-31,-7.016666666666668,-6.916666666666667,-3.9306666666666663,-1,0.7932489451476793,0.014729574223245267,0.0,False
2006-04-30,-6.303333333333335,-7.016666666666668,-3.9866666666666664,0,1.0,0.0,0.0,False
2006-05-31,-5.856666666666668,-6.303333333333335,-4.247999999999999,0,0.9709090909090909,0.0,0.0,False
2006-06-30,-5.323333333333334,-5.856666666666668,-4.708,0,0.9696969696969697,0.0,0.0,False
2006-07-31,-4.196666666666666,-5.323333333333334,-4.708,1,0.9748427672955975,0.0,0.0,False
2006-08-31,-3.3066666666666666,-4.196666666666666,-4.708,1,0.9765395894428153,0.0,0.0,False
2006-09-30,-2.186666666666666,-3.3066666666666666,-4.708,1,1.0,0.0,0.0,False
2006-10-31,-1.4166666666666667,-2.186666666666666,-4.708,1,1.0,0.0,0.0,False
2006-11-30,-0.6166666666666671,-1.4166666666666667,-4.708,1,1.0,0.0,0.0,False
2006-12-31,-0.06000000000000109,-0.6166666666666671,-4.708,1,1.0,0.0,0.0,False
2007-01-31,1.5266666666666662,-0.06000000000000109,-4.287999999999999,1,0.9841628959276018,0.0,0.0,False
2007-02-28,2.586666666666666,1.5266666666666662,-4.287999999999999,1,0.9781181619256017,0.0,0.0,False
2007-03-31,3.2533333333333325,2.586666666666666,-4.287999999999999,1,0.9916492693110647,0.0,0.0,False
2007-04-30,2.8899999999999992,3.2533333333333325,-4.287999999999999,-1,1.0,0.0,0.0,False
2007-05-31,2.666666666666668,2.8899999999999992,-4.287999999999999,-1,0.9961389961389961,0.0,0.0,False
2007-06-30,3.106666666666669,2.666666666666668,-4.287999999999999,1,0.9461966604823747,0.0,0.0,False
2007-07-31,2.9533333333333354,3.106666666666669,-4.287999999999999,-1,1.0,0.0,0.0,False
2007-08-31,3.666666666666668,2.9533333333333354,-4.287999999999999,1,1.0,0.0,0.0,False
